FID,sh_date_uploaded,hbname,hbcode,sitecode,sitename,postcode,address,tenure,type,uprn,x,y,fid,camas
pub_hosp.66,31/07/2024,NHS Highland,S08000022,C122H,Community Equipment Store Campbeltown,PA28 6LE,"Ralston Road, Campbeltown",Owned,Community Hospital,125030510,172003,619995,66,17460
pub_hosp.71,31/07/2024,NHS Highland,S08000022,H101H,Dunbar Hospital Thurso,KW14 7XE,"Ormlie Road, Thurso",Owned,Community Hospital,130078179,310620,967186,71,8194
pub_hosp.72,31/07/2024,NHS Highland,S08000022,H103H,Caithness General Hospital,KW1 5NS,"Bankhead Road, Wick",Owned,Community Hospital,130089516,336130,950859,72,66072
pub_hosp.73,31/07/2024,NHS Highland,S08000022,H104H,Town & County Hospital Wick,KW1 5NQ,"Hospital Road, Wick",Owned,Older People Hospital,130084225,335965,949904,73,10344
pub_hosp.74,31/07/2024,NHS Highland,S08000022,H106H,Lawson Memorial Hospital,KW10 6SS,"Station Road, Golspie",Owned,Community Hospital,130099793,282528,899920,74,16572
pub_hosp.75,31/07/2024,NHS Highland,S08000022,H201H,Royal Northern Infirmary,IV3 5SF,"Ness Walk, Inverness",Owned,Community Hospital,130104196,266262,844463,75,17653
pub_hosp.76,31/07/2024,NHS Highland,S08000022,H202H,Raigmore Hospital,IV2 3UJ,"Old Perth Road, Inverness",Owned,Acute Hospital,130036792,268618,844740,76,705049
pub_hosp.77,31/07/2024,NHS Highland,S08000022,H208H,Town & County Hospital Nairn,IV12 5EE,"Cawdor Road, Nairn",PFI/NPD,Community Hospital,130109687,288120,855775,77,17512
pub_hosp.79,31/07/2024,NHS Highland,S08000022,H212H,Belford Hospital,PH33 6BS,"Belford Road, Fort William",Owned,Multi Service Hospital,130024001,210613,774069,79,45621
pub_hosp.81,31/07/2024,NHS Highland,S08000022,H215H,Portree Hospital,IV51 9BZ,"Fancy Hill, Portree",Owned,Community Hospital,130063404,148283,843314,81,7878
pub_hosp.82,31/07/2024,NHS Highland,S08000022,H217H,Ross Memorial Hospital,IV15 9QT,"Ferry Road, Dingwall",Owned,Community Hospital,130087488,255614,858620,82,16775
pub_hosp.83,31/07/2024,NHS Highland,S08000022,H219H,Invergordon County Community Hospital,IV18 0JR,"Saltburn Road, Invergordon",PFI/NPD,Community Hospital,130069957,271838,869426,83,39984
pub_hosp.84,31/07/2024,NHS Highland,S08000022,H223H,New Craigs,IV3 8NP,"Leachkin Road, Inverness",PFI/NPD,Mental Health Hospital,130103747,263973,844332,84,108627
pub_hosp.85,31/07/2024,NHS Highland,S08000022,H224H,Argyll Community Hospital and Integrated Care Centre,PA31 8JZ,"Mid Argyll Community Hospital & Integrated Care, Blarbuie Road, Lochgilphead, Argyll",PFI/NPD,Community Hospital,125071936,186879,688339,85,37329
pub_hosp.86,31/07/2024,NHS Highland,S08000022,H226H,Migdale Hospital 2011,IV24 3ER,"Cherry Grove, Bonar Bridge",Owned,Community Hospital,130139956,261212,891510,86,13834
pub_hosp.87,31/07/2024,NHS Highland,S08000022,H228H,Badenoch & Strathspey Community Hospital,PH22 1PB,"Cairngorm Technology Park, Aviemore",Owned,Community Hospital,130178672,289985.59,813433.56,87,22158
pub_hosp.89,31/07/2024,NHS Highland,S08000022,H229H,Broadford Hospital,IV49 9AA,"High Road, Broadford",Owned,Community Hospital,130184898,164133,823960,89,20121
pub_hosp.98,31/07/2024,NHS Orkney,S08000025,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall",Owned,Acute Hospital,134020600,344591,1010010,98,62291
pub_hosp.102,31/07/2024,NHS Shetland,S08000026,Z102H,Gilbert Bain Hospital,ZE1 0TB,"South Road, Lerwick, Shetland",Owned,Acute Hospital,30100008216,446981,1141030,102,73962
pub_hosp.106,31/07/2024,NHS Western Isles,S08000028,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Isle of Lewis, Stornoway",Owned,Acute Hospital,139013807,142692,934195,106,117446
pub_hosp.107,31/07/2024,NHS Western Isles,S08000028,W108H,Uist and Barra Hospital,HS7 5LA,"Balivanich, Isle of Benbecula",Owned,Community Hospital,139013969,77251,855300,107,17568
pub_hosp.108,31/07/2024,NHS Tayside,S08000030,T101H,Ninewells Hospital,DD1 9SY,"Ninewells Avenue, Dundee",Owned,Acute Hospital,9059088062,335933,730694,108,1269715
pub_hosp.110,31/07/2024,NHS Tayside,S08000030,T104H,Kings Cross Hospital,DD3 8EA,"Clepington Road, Dundee",Owned,Community Hospital,9059102191,339391,732165,110,6588
pub_hosp.111,31/07/2024,NHS Tayside,S08000030,T107H,Royal Victoria Hospital,DD2 1SP,"Jedburgh Road, Dundee",Owned,Multi Service Hospital,9059043460,337629,730504,111,171736
pub_hosp.113,31/07/2024,NHS Tayside,S08000030,T115H,Strathmartine Hospital,DD3 0PQ,"Baldovan Road, Strathmartine, Dundee",Owned,Mental Health Hospital,117121795,338323,735165,113,18666
pub_hosp.119,31/07/2024,NHS Tayside,S08000030,T202H,Perth Royal Infirmary,PH1 1NX,"Taymount Terrace, Perth",Owned,Multi Service Hospital,124037688,310411,723623,119,359302
pub_hosp.120,31/07/2024,NHS Tayside,S08000030,T205H,St Margarets Hospital,PH3 1JH,"Western Road, Auchterarder",Owned,Community Hospital,124032142,293688,712587,120,13550
pub_hosp.121,31/07/2024,NHS Tayside,S08000030,T209H,Blairgowrie Cottage Hospital,PH10 6EE,"Perth Road, Blairgowrie",Owned,Community Hospital,124002483,317409,744585.83,121,22992
pub_hosp.122,31/07/2024,NHS Tayside,S08000030,T215H,Murray Royal Hospital,PH2 7BH,"Muirhall Road, Perth",PFI/NPD,Mental Health Hospital,124051002,312939.65,724017.75,122,177861
pub_hosp.123,31/07/2024,NHS Tayside,S08000030,T304H,Arbroath Infirmary,DD11 2AT,"Rosemount Road, Arbroath",Owned,Multi Service Hospital,117097391,363406,740444,123,35136
pub_hosp.124,31/07/2024,NHS Tayside,S08000030,T312H,Stracathro Hospital,DD9 7QA,"Stracathro Hospital, Brechin",Owned,Multi Service Hospital,117097919,362591,764986,124,50050
pub_hosp.127,31/07/2024,NHS Tayside,S08000030,T316H,Crieff Community Hospital,PH7 3HR,"King Street, Crieff",Owned,Community Hospital,124033837,286317.24,721263.23,127,27372
pub_hosp.128,31/07/2024,NHS Tayside,S08000030,T317H,Carseview Centre,DD2 1NH,"4 Tom McDonald Avenue, Ninewells, Dundee",PFI/NPD,Mental Health Hospital,9059060918,335664,730633,128,97440
pub_hosp.129,31/07/2024,NHS Tayside,S08000030,T319H,Whitehills Health and Community Care Centre,DD8 3DY,"Station Road, Forfar",PFI/NPD,Community Hospital,117098302,346619,751376,129,51788
pub_hosp.130,31/07/2024,NHS Tayside,S08000030,T320H,Pitlochry Community Hospital,PH16 5FG,"Ferry Road, Pitlochry, Perthshire",Leased,Community Hospital,124080764,293727,757986,130,10194
pub_hosp.132,31/07/2024,NHS Tayside,S08000030,T322H,Kingsway Care Centre,DD2 3PT,"7 Kings Cross Road, Dundee",Leased,Older People Hospital,9059086926,338477.08,732101.69,132,41972
pub_hosp.133,31/07/2024,NHS Tayside,S08000030,T324H,Dudhope Young Peoples Inpatient Unit,DD3 6HH,"17 Dudhope Terrace, Dundee",Owned,Clinics (Inc. Day Hospitals and Resource Centres),9059103968,339164.47,730903.26,133,12999
